"","agegroup","covid_numbers","policies_UK","rp_mean_norm","dospert_beta","objectiverisk_totalscore","numeracy_total","numeracy3","risktaking_mean","rp_individual_mean","rp_other_mean","risktaking_enforced","risktaking_recommendations"
"269","older",7,6,0.388888888888889,-2,4,5,0,1.9,0.208333333333333,0.416666666666667,1.5,2.16666666666667
"270","older",3,3,0.5,-0.264150943396227,7,8,0,1.88888888888889,0.291666666666667,0.541666666666667,1,2.33333333333333
"271","older",2,3,0.680555555555556,-0.514492753623189,5,10,0,1.8,0.5,0.625,1.25,2.16666666666667
"272","older",3,5,0.472222222222222,-0.500000000000003,3,11,1,1.44444444444444,0.5,0.375,1.25,1.6
"273","older",1,5,0.666666666666667,-0.00232558139534888,4,7,0,2.5,0.5,0.75,1.25,3.33333333333333
"274","older",3,5,0.472222222222222,0.269230769230769,4,9,0,1.9,0.291666666666667,0.291666666666667,1.25,2.33333333333333
"275","older",2,3,0.736111111111111,NA,7,9,0,1.22222222222222,0.416666666666667,0.875,1,1.33333333333333
"276","older",5,3,0.555555555555556,-0.85,3,6,0,1.7,0.291666666666667,0.541666666666667,1.25,2
"277","older",3,6,0.430555555555556,-0.000000000000000361888430622384,3,8,0,1.8,0.208333333333333,0.333333333333333,1,2.33333333333333
"278","older",3,5,0.375,0.0215517241379304,7,11,1,2.71428571428571,0.208333333333333,0.0833333333333333,1,3.4
"279","older",3,7,0.402777777777778,NA,2,8,0,1.77777777777778,0,0.458333333333333,1.33333333333333,2
"280","older",1,3,0.902777777777778,-1.06451612903226,3,11,1,1.7,0.708333333333333,1,1.25,2
"281","older",1,6,0.430555555555556,-0.782178217821782,5,9,0,1.7,0.5,0.375,1.25,2
"282","older",3,3,0.472222222222222,-0.689655172413792,2,7,0,1.6,0.0833333333333333,0.583333333333333,1,2
"283","older",7,5,0.472222222222222,-0.849999999999999,5,7,0,2,0.291666666666667,0.458333333333333,1.66666666666667,2.16666666666667
"284","older",2,6,0.263888888888889,0.0321782178217823,4,9,1,2.88888888888889,0.0833333333333333,0.208333333333333,2,3.33333333333333
"285","older",1,7,0.972222222222222,0.0000000000000000928602896446209,2,11,1,2.2,0.916666666666667,1,1,2.5
"286","older",2,3,0.694444444444444,-1.8,3,8,0,2.2,0.5,0.75,1.5,2.66666666666667
"287","older",2,3,0.638888888888889,-0.244444444444445,2,8,0,1.33333333333333,0.5,0.5,1,1.5
"288","older",3,3,0.736111111111111,-0.75,6,11,1,2.125,0.5,0.875,1.33333333333333,2.6
